,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
90,4 feb 2025,"39,25","39,65","39,03","39,26","35,36",300.700
91,3 feb 2025,"38,84","39,25","38,31","38,97","35,10",401.400
92,31 ene 2025,"39,89","40,17","39,43","39,55","35,62",371.600
93,30 ene 2025,"40,21","40,62","39,39","39,84","35,88",622.800
94,29 ene 2025,"38,78","40,43","38,63","40,30","36,29",630.400
95,28 ene 2025,"37,77","39,73","37,50","38,67","34,82",1.407.300
96,27 ene 2025,"35,50","37,17","34,92","36,88","33,21",1.237.500
97,24 ene 2025,"34,43","35,71","34,35","35,67","32,12",1.009.100
98,23 ene 2025,"33,08","34,43","33,02","34,43","31,01",606.100
99,22 ene 2025,"32,27","33,14","32,21","33,07","29,78",359.700
100,21 ene 2025,"32,31","32,49","32,05","32,37","29,15",277.200
101,17 ene 2025,"32,17","32,37","31,94","32,15","28,95",235.600
102,16 ene 2025,"32,47","32,47","31,78","32,05","28,86",222.900
103,15 ene 2025,"33,07","33,14","32,48","32,51","29,28",401.400
104,14 ene 2025,"32,51","32,60","32,19","32,43","29,21",224.200
105,13 ene 2025,"31,95","32,42","31,83","32,33","29,12",343.300
106,10 ene 2025,"32,40","32,51","32,24","32,35","29,13",241.300
107,8 ene 2025,"32,52","32,73","32,32","32,40","29,18",212.800
108,7 ene 2025,"32,38","32,88","32,38","32,57","29,33",259.300
109,6 ene 2025,"32,16","32,74","32,14","32,35","29,13",203.800
110,3 ene 2025,"32,36","32,60","31,80","31,99","28,81",250.400
111,2 ene 2025,"31,66","32,37","31,66","32,34","29,12",171.500
112,31 dic 2024,"31,59","31,85","31,25","31,51","28,38",129.800
113,30 dic 2024,"31,29","31,70","31,19","31,67","28,52",194.700
114,27 dic 2024,"32,27","32,41","31,94","32,05","28,14",170.500
115,26 dic 2024,"32,35","32,77","32,32","32,48","28,52",106.300
116,24 dic 2024,"32,09","32,35","32,09","32,29","28,35",44.900
117,23 dic 2024,"32,15","32,18","31,77","32,18","28,26",126.900
118,20 dic 2024,"31,60","32,54","31,60","32,19","28,26",214.600
119,19 dic 2024,"31,70","32,22","31,70","31,89","28,00",334.600
120,18 dic 2024,"32,53","32,64","31,56","31,56","27,71",270.200
121,17 dic 2024,"32,70","32,85","32,22","32,55","28,58",228.800
122,16 dic 2024,"33,19","33,35","32,77","32,86","28,85",159.800
123,13 dic 2024,"33,21","33,39","32,93","33,19","29,14",138.600
124,12 dic 2024,"33,21","33,37","32,96","33,14","29,10",148.400
125,11 dic 2024,"33,00","33,70","32,60","33,32","29,26",296.200
126,10 dic 2024,"32,74","33,29","32,67","32,88","28,87",202.600
127,9 dic 2024,"33,16","33,25","32,65","32,69","28,70",196.300
128,6 dic 2024,"33,08","33,14","32,58","32,72","28,73",173.800
129,5 dic 2024,"32,80","33,12","32,37","32,96","28,94",254.500
130,4 dic 2024,"32,65","32,80","32,24","32,30","28,36",264.800
131,3 dic 2024,"32,86","33,05","32,59","32,63","28,65",197.600
132,2 dic 2024,"32,65","32,83","32,47","32,65","28,67",222.700
133,29 nov 2024,"32,78","33,03","32,58","32,70","28,71",94.700
134,27 nov 2024,"32,55","33,09","32,42","32,91","28,90",166.000
135,26 nov 2024,"33,11","33,12","32,53","32,58","28,61",178.500
136,25 nov 2024,"33,01","33,63","32,84","33,33","29,27",507.800
137,22 nov 2024,"32,80","32,99","32,61","32,79","28,79",85.300
138,21 nov 2024,"33,30","33,61","32,76","32,76","28,77",184.400
139,20 nov 2024,"32,86","33,50","32,76","33,47","29,39",375.800
140,19 nov 2024,"32,49","33,21","32,38","32,94","28,92",296.400
141,18 nov 2024,"31,70","32,92","31,70","32,82","28,82",339.600
142,15 nov 2024,"31,50","31,97","31,48","31,78","27,90",303.700
143,14 nov 2024,"31,35","31,83","31,11","31,48","27,64",476.600
144,13 nov 2024,"31,35","31,45","30,68","31,20","27,40",330.900
145,12 nov 2024,"32,32","32,32","31,16","31,35","27,53",237.500
