fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad,prediccion
12 jun 2024,34.59,34.59,33.33,33.36,27.78,404.0,2.9648659328880282,34.45367303275913
12 mar 2025,42.01,42.56,41.65,42.39,38.18,196.5,4.237424925588646,35.33238100729237
12 nov 2024,32.32,32.32,31.16,31.35,27.53,237.5,4.665093782551424,35.62768836610895
12 sept 2024,31.48,32.11,31.45,31.86,27.27,383.4,4.479277843581486,35.49938158559439
13 ago 2024,32.99,33.75,32.99,33.52,28.69,155.5,4.511211588919325,35.521431987065775
13 dic 2024,33.21,33.39,32.93,33.19,29.14,138.6,4.522540215409922,35.529254456982606
13 ene 2025,31.95,32.42,31.83,32.33,29.12,343.3,0.9034655499796883,33.03026636512531
13 feb 2025,39.87,40.38,39.35,40.32,36.31,393.2,3.460481180414079,34.79589769409069
13 jun 2024,33.39,33.54,32.73,32.8,27.31,388.3,3.3213205205158998,34.69980660338665
13 mar 2025,42.14,42.67,41.45,41.57,37.44,318.0,4.507867566821362,35.51912292406646
13 may 2024,34.44,35.24,34.44,34.65,28.85,141.3,4.320327533879802,35.38962564854899
13 nov 2024,31.35,31.45,30.68,31.2,27.4,330.9,4.602485198238007,35.58445684393512
13 sept 2024,31.84,32.31,31.68,31.81,27.23,360.7,4.212461275786405,35.315143489597304
14 abr 2025,38.39,38.82,37.72,38.29,37.77,538.5,4.400497699124494,35.444983525020135
14 ago 2024,33.76,33.87,33.36,33.86,28.98,147.1,2.8051327954305556,34.34337654946351
14 ene 2025,32.51,32.6,32.19,32.43,29.21,224.2,2.8444278862365384,34.3705099946313
14 feb 2025,40.49,41.0,40.49,40.71,36.66,277.6,3.8931606696872905,35.09466491810322
14 jun 2024,32.68,32.85,32.43,32.46,27.03,135.4,3.7507265962743785,34.99631351995894
14 mar 2025,42.25,43.29,41.77,43.12,38.83,325.9,5.034960774425152,35.88308326500188
14 may 2024,34.79,35.15,34.46,35.08,29.21,176.1,4.901872091354478,35.79118490287868
14 nov 2024,31.35,31.83,31.11,31.48,27.64,476.6,5.1249975609750225,35.9452540899275
14 oct 2024,32.32,33.03,32.1,32.64,28.66,209.2,4.75243937362698,35.688000907891805
15 abr 2025,38.38,39.17,38.02,39.02,38.49,408.3,4.796406988569669,35.71836075297008
15 ago 2024,34.32,34.59,34.1,34.3,29.36,137.2,2.8890621315575817,34.40133015112372
15 ene 2025,33.07,33.14,32.48,32.51,29.28,401.4,2.987892233665744,34.469572801833436
15 jul 2024,34.48,34.52,33.95,33.96,29.07,190.0,2.654275795768036,34.23920908109624
15 may 2024,35.39,35.92,35.22,35.66,29.69,323.8,2.4661305723744644,34.10929391872297
15 nov 2024,31.5,31.97,31.48,31.78,27.9,303.7,1.5292874157594063,33.46239930925773
15 oct 2024,32.75,32.75,31.95,32.27,28.34,508.3,1.5795663961986874,33.49711718191968
